Phenotype	Sex	ab_r2	ab_r2_se	ab_inc_r2	ab_inc_r2_se	as_r2	as_r2_se	as_inc_r2	as_inc_r2_se	m_r2	m_r2_se	m_inc_r2	m_inc_r2_se
Hip circumference	combined	0.0449	0.0014	0.0439	0.0014	0.0309	0.0009	0.0299	0.0008	0.0451	0.0029	0.0440	0.0030
Hip circumference	female	0.0474	0.0026	0.0457	0.0025	0.0327	0.0014	0.0309	0.0011	0.0471	0.0032	0.0453	0.0032
Hip circumference	male	0.0450	0.0011	0.0440	0.0011	0.0294	0.0016	0.0284	0.0016	0.0445	0.0033	0.0424	0.0037
Waist to hip ratio	combined	0.4727	0.0017	0.0183	0.0003	0.4675	0.0019	0.0130	0.0003	0.4718	0.0020	0.0174	0.0005
Waist to hip ratio	female	0.0684	0.0003	0.0385	0.0007	0.0640	0.0011	0.0341	0.0009	0.0722	0.0009	0.0422	0.0012
Waist to hip ratio	male	0.0588	0.0017	0.0269	0.0007	0.0474	0.0017	0.0155	0.0005	0.0547	0.0020	0.0228	0.0005
Albumin	combined	0.0761	0.0011	0.0375	0.0006	0.0677	0.0008	0.0292	0.0002	0.0691	0.0011	0.0305	0.0005
Albumin	female	0.0427	0.0015	0.0366	0.0013	0.0370	0.0009	0.0309	0.0006	0.0387	0.0014	0.0326	0.0012
Albumin	male	0.1067	0.0007	0.0391	0.0005	0.0963	0.0014	0.0287	0.0005	0.0974	0.0012	0.0298	0.0005
Pulse rate	combined	0.0408	0.0006	0.0304	0.0005	0.0320	0.0009	0.0215	0.0008	0.0340	0.0012	0.0235	0.0012
Pulse rate	female	0.0358	0.0009	0.0316	0.0006	0.0296	0.0008	0.0254	0.0005	0.0312	0.0012	0.0270	0.0008
Pulse rate	male	0.0323	0.0014	0.0302	0.0012	0.0217	0.0016	0.0197	0.0013	0.0244	0.0019	0.0224	0.0017
Waist:hip (bmi adj.)	combined	0.5179	0.0015	0.0148	0.0007	0.5150	0.0016	0.0119	0.0002	0.5176	0.0022	0.0145	0.0009
Waist:hip (bmi adj.)	female	0.0656	0.0008	0.0433	0.0015	0.0702	0.0017	0.0480	0.0017	0.0686	0.0026	0.0464	0.0027
Waist:hip (bmi adj.)	male	0.0605	0.0026	0.0165	0.0012	0.0561	0.0017	0.0121	0.0005	0.0580	0.0019	0.0140	0.0007
